model,run_id,started,n_items,panel_only
claude-sonnet-4-5,gha-26739370271,2026-06-01 06:47:13.335000+00:00,300,True
claude-sonnet-4-5,gha-27120305151,2026-06-08 06:40:27.476000+00:00,299,True
claude-sonnet-4-5,gha-27529172037,2026-06-15 06:55:59.521000+00:00,299,True
claude-sonnet-4-5,gha-27934941478,2026-06-22 06:56:54.476000+00:00,299,True
claude-sonnet-4-5,gha-28353397523,2026-06-29 06:43:18.193000+00:00,300,True
claude-sonnet-4-5,gha-28772619054,2026-07-06 06:40:39.065000+00:00,300,True
claude-sonnet-4-6,gha-23349348405,2026-03-22 18:25:40.573000+00:00,265,True
claude-sonnet-4-6,gha-23832575964,2026-04-01 04:58:44.319000+00:00,267,True
claude-sonnet-4-6,gha-24328022313,2026-04-13 06:01:07.455000+00:00,299,True
claude-sonnet-4-6,gha-24650819763,2026-04-20 06:00:46.395000+00:00,299,True
claude-sonnet-4-6,gha-24979191336,2026-04-27 06:08:18.985000+00:00,300,True
claude-sonnet-4-6,gha-25303760670,2026-05-04 06:07:17.697000+00:00,299,True
claude-sonnet-4-6,gha-25653805302,2026-05-11 06:25:37.547000+00:00,299,True
claude-sonnet-4-6,gha-26017377983,2026-05-18 06:34:56.839000+00:00,300,True
claude-sonnet-4-6,gha-26386972486,2026-05-25 06:41:02.569000+00:00,299,True
claude-sonnet-4-6,gha-26739370271,2026-06-01 06:46:38.488000+00:00,299,True
claude-sonnet-4-6,gha-27120305151,2026-06-08 06:40:03.481000+00:00,300,True
claude-sonnet-4-6,gha-27529172037,2026-06-15 06:55:33.001000+00:00,298,True
claude-sonnet-4-6,gha-27934941478,2026-06-22 06:56:30.422000+00:00,299,True
claude-sonnet-4-6,gha-28353397523,2026-06-29 06:42:36.551000+00:00,299,True
claude-sonnet-4-6,gha-28772619054,2026-07-06 06:40:04.467000+00:00,299,True
gemini-2.0-flash,gha-23118723659,2026-03-15 20:37:49.645000+00:00,300,True
gemini-2.5-flash,gha-23118723659,2026-03-15 20:37:21.921000+00:00,300,True
gemini-2.5-flash,gha-23349348405,2026-03-22 18:25:15.085000+00:00,298,True
gemini-2.5-flash,gha-24020491444,2026-04-06 05:51:19.026000+00:00,300,True
gemini-2.5-flash,gha-24328022313,2026-04-13 06:00:39.613000+00:00,299,True
gemini-2.5-flash,gha-24650819763,2026-04-20 06:00:18.803000+00:00,299,True
gemini-2.5-flash,gha-25303760670,2026-05-04 06:06:53.289000+00:00,299,True
gemini-2.5-flash,gha-25653805302,2026-05-11 06:25:12.492000+00:00,298,True
gemini-2.5-flash,gha-26017377983,2026-05-18 06:34:33.360000+00:00,297,True
gemini-2.5-flash,gha-26386972486,2026-05-25 06:40:26.530000+00:00,298,True
gemini-2.5-flash,gha-26739370271,2026-06-01 06:46:04.016000+00:00,298,True
gemini-2.5-flash,gha-27120305151,2026-06-08 06:39:38.270000+00:00,298,True
gemini-2.5-flash,gha-27529172037,2026-06-15 06:55:09.545000+00:00,300,True
gemini-2.5-flash,gha-27934941478,2026-06-22 06:56:08.149000+00:00,300,True
gpt-4.1-mini,gha-23118723659,2026-03-15 20:36:25.682000+00:00,299,True
gpt-4.1-mini,gha-23349348405,2026-03-22 18:24:20.131000+00:00,297,True
gpt-4.1-mini,gha-23685528951,2026-03-28 12:47:14.352000+00:00,300,True
gpt-4.1-mini,gha-23832575964,2026-04-01 04:57:40.821000+00:00,299,True
gpt-4.1-mini,gha-24020491444,2026-04-06 05:50:31.909000+00:00,299,True
gpt-4.1-mini,gha-24328022313,2026-04-13 05:59:48.046000+00:00,300,True
gpt-4.1-mini,gha-24650819763,2026-04-20 05:59:28.724000+00:00,299,True
gpt-4.1-mini,gha-24979191336,2026-04-27 06:07:30.774000+00:00,300,True
gpt-4.1-mini,gha-25653805302,2026-05-11 06:24:21.966000+00:00,300,True
gpt-4.1-mini,gha-26017377983,2026-05-18 06:33:45.997000+00:00,300,True
gpt-4.1-mini,gha-26386972486,2026-05-25 06:39:10.842000+00:00,299,True
gpt-4.1-mini,gha-26739370271,2026-06-01 06:44:52.501000+00:00,298,True
gpt-4.1-mini,gha-27120305151,2026-06-08 06:38:45.948000+00:00,300,True
gpt-4.1-mini,gha-27529172037,2026-06-15 06:54:17.542000+00:00,298,True
gpt-4.1-mini,gha-27934941478,2026-06-22 06:55:12.163000+00:00,299,True
gpt-4.1-mini,gha-28353397523,2026-06-29 06:41:21.212000+00:00,300,True
gpt-4.1-mini,gha-28772619054,2026-07-06 06:38:52.002000+00:00,300,True
gpt-4.1-nano,gha-23118723659,2026-03-15 20:36:53.818000+00:00,300,True
gpt-4.1-nano,gha-23349348405,2026-03-22 18:24:46.866000+00:00,299,True
gpt-4.1-nano,gha-23685528951,2026-03-28 12:47:38.648000+00:00,299,True
gpt-4.1-nano,gha-23832575964,2026-04-01 04:58:14.200000+00:00,300,True
gpt-4.1-nano,gha-24020491444,2026-04-06 05:50:56.211000+00:00,300,True
gpt-4.1-nano,gha-24328022313,2026-04-13 06:00:14.096000+00:00,300,True
gpt-4.1-nano,gha-24650819763,2026-04-20 05:59:52.873000+00:00,300,True
gpt-4.1-nano,gha-24979191336,2026-04-27 06:07:55.987000+00:00,300,True
gpt-4.1-nano,gha-25653805302,2026-05-11 06:24:46.756000+00:00,299,True
gpt-4.1-nano,gha-26017377983,2026-05-18 06:34:10.548000+00:00,299,True
gpt-4.1-nano,gha-26386972486,2026-05-25 06:39:45.448000+00:00,299,True
gpt-4.1-nano,gha-26739370271,2026-06-01 06:45:26.812000+00:00,300,True
gpt-4.1-nano,gha-27120305151,2026-06-08 06:39:11.246000+00:00,300,True
gpt-4.1-nano,gha-27529172037,2026-06-15 06:54:42.187000+00:00,299,True
gpt-4.1-nano,gha-27934941478,2026-06-22 06:55:37.608000+00:00,299,True
gpt-4.1-nano,gha-28353397523,2026-06-29 06:41:57.048000+00:00,299,True
gpt-4.1-nano,gha-28772619054,2026-07-06 06:39:31.196000+00:00,298,True
gpt-5,gha-23118723659,2026-03-15 20:34:59.065000+00:00,300,True
gpt-5,gha-23349348405,2026-03-22 18:23:02.245000+00:00,298,True
gpt-5,gha-23832575964,2026-04-01 04:56:07.998000+00:00,300,True
gpt-5,gha-24020491444,2026-04-06 05:49:19.319000+00:00,299,True
gpt-5,gha-24328022313,2026-04-13 05:58:30.524000+00:00,300,True
gpt-5,gha-24650819763,2026-04-20 05:58:13.512000+00:00,299,True
gpt-5,gha-24979191336,2026-04-27 06:06:16.757000+00:00,300,True
gpt-5,gha-25653805302,2026-05-11 06:23:05.170000+00:00,300,True
gpt-5,gha-26017377983,2026-05-18 06:32:33.101000+00:00,300,True
gpt-5,gha-26386972486,2026-05-25 06:37:28.072000+00:00,298,True
gpt-5,gha-26739370271,2026-06-01 06:43:06.557000+00:00,300,True
gpt-5,gha-27120305151,2026-06-08 06:37:29.499000+00:00,299,True
gpt-5,gha-27529172037,2026-06-15 06:53:02.573000+00:00,300,True
gpt-5,gha-27934941478,2026-06-22 06:53:53.557000+00:00,300,True
gpt-5,gha-28353397523,2026-06-29 06:39:27.280000+00:00,299,True
gpt-5,gha-28772619054,2026-07-06 06:37:03.627000+00:00,299,True
gpt-5-mini,gha-23118723659,2026-03-15 20:35:27.251000+00:00,299,True
gpt-5-mini,gha-23349348405,2026-03-22 18:23:29.511000+00:00,297,True
gpt-5-mini,gha-23832575964,2026-04-01 04:56:37.833000+00:00,300,True
gpt-5-mini,gha-24020491444,2026-04-06 05:49:42.708000+00:00,299,True
gpt-5-mini,gha-24328022313,2026-04-13 05:58:56.190000+00:00,299,True
gpt-5-mini,gha-24650819763,2026-04-20 05:58:38.204000+00:00,299,True
gpt-5-mini,gha-24979191336,2026-04-27 06:06:42.007000+00:00,300,True
gpt-5-mini,gha-25653805302,2026-05-11 06:23:31.326000+00:00,298,True
gpt-5-mini,gha-26017377983,2026-05-18 06:32:56.068000+00:00,299,True
gpt-5-mini,gha-26386972486,2026-05-25 06:38:02.094000+00:00,300,True
gpt-5-mini,gha-26739370271,2026-06-01 06:43:42.948000+00:00,298,True
gpt-5-mini,gha-27120305151,2026-06-08 06:37:56.954000+00:00,298,True
gpt-5-mini,gha-27529172037,2026-06-15 06:53:26.077000+00:00,300,True
gpt-5-mini,gha-27934941478,2026-06-22 06:54:21.464000+00:00,300,True
gpt-5-mini,gha-28353397523,2026-06-29 06:40:03.802000+00:00,300,True
gpt-5-mini,gha-28772619054,2026-07-06 06:37:39.136000+00:00,300,True
gpt-5-nano,gha-23118723659,2026-03-15 20:35:56.650000+00:00,298,True
gpt-5-nano,gha-23349348405,2026-03-22 18:23:54.249000+00:00,298,True
gpt-5-nano,gha-23832575964,2026-04-01 04:57:07.860000+00:00,299,True
gpt-5-nano,gha-24020491444,2026-04-06 05:50:07.900000+00:00,300,True
gpt-5-nano,gha-24328022313,2026-04-13 05:59:21.635000+00:00,300,True
gpt-5-nano,gha-24650819763,2026-04-20 05:59:03.701000+00:00,300,True
gpt-5-nano,gha-24979191336,2026-04-27 06:07:05.655000+00:00,299,True
gpt-5-nano,gha-25653805302,2026-05-11 06:23:57.126000+00:00,298,True
gpt-5-nano,gha-26017377983,2026-05-18 06:33:19.278000+00:00,299,True
gpt-5-nano,gha-26386972486,2026-05-25 06:38:37.603000+00:00,299,True
gpt-5-nano,gha-26739370271,2026-06-01 06:44:17.741000+00:00,299,True
gpt-5-nano,gha-27120305151,2026-06-08 06:38:20.329000+00:00,299,True
gpt-5-nano,gha-27529172037,2026-06-15 06:53:51.250000+00:00,299,True
gpt-5-nano,gha-27934941478,2026-06-22 06:54:46.141000+00:00,300,True
gpt-5-nano,gha-28353397523,2026-06-29 06:40:44.777000+00:00,300,True
gpt-5-nano,gha-28772619054,2026-07-06 06:38:14.260000+00:00,299,True
gpt-5.1,gha-23118723659,2026-03-15 20:34:30.688000+00:00,298,True
gpt-5.1,gha-23349348405,2026-03-22 18:22:35.110000+00:00,298,True
gpt-5.1,gha-23832575964,2026-04-01 04:55:32.771000+00:00,300,True
gpt-5.1,gha-24020491444,2026-04-06 05:48:52.988000+00:00,300,True
gpt-5.1,gha-24328022313,2026-04-13 05:58:04.898000+00:00,299,True
gpt-5.1,gha-24650819763,2026-04-20 05:57:49.342000+00:00,298,True
gpt-5.1,gha-24979191336,2026-04-27 06:05:50.679000+00:00,299,True
gpt-5.1,gha-25653805302,2026-05-11 06:22:41.163000+00:00,300,True
gpt-5.1,gha-26017377983,2026-05-18 06:32:06.610000+00:00,299,True
gpt-5.1,gha-26386972486,2026-05-25 06:36:55.777000+00:00,299,True
gpt-5.1,gha-26739370271,2026-06-01 06:42:32.456000+00:00,299,True
gpt-5.1,gha-27120305151,2026-06-08 06:37:03.639000+00:00,298,True
gpt-5.1,gha-27529172037,2026-06-15 06:52:36.959000+00:00,299,True
gpt-5.1,gha-27934941478,2026-06-22 06:53:27.381000+00:00,298,True
gpt-5.1,gha-28353397523,2026-06-29 06:38:52.104000+00:00,300,True
gpt-5.1,gha-28772619054,2026-07-06 06:36:26.429000+00:00,300,True
gpt-5.2,gha-23118723659,2026-03-15 20:34:02.130000+00:00,300,True
gpt-5.2,gha-23349348405,2026-03-22 18:22:09.162000+00:00,297,True
gpt-5.2,gha-23832575964,2026-04-01 04:55:01.377000+00:00,300,True
gpt-5.2,gha-24020491444,2026-04-06 05:48:28.683000+00:00,299,True
gpt-5.2,gha-24328022313,2026-04-13 05:57:38.129000+00:00,299,True
gpt-5.2,gha-24650819763,2026-04-20 05:57:19.547000+00:00,300,True
gpt-5.2,gha-24979191336,2026-04-27 06:05:27.158000+00:00,298,True
gpt-5.2,gha-25653805302,2026-05-11 06:22:15.550000+00:00,299,True
gpt-5.2,gha-26017377983,2026-05-18 06:31:43.114000+00:00,300,True
gpt-5.2,gha-26386972486,2026-05-25 06:36:20.762000+00:00,299,True
gpt-5.2,gha-26739370271,2026-06-01 06:41:57.074000+00:00,300,True
gpt-5.2,gha-27120305151,2026-06-08 06:36:38.286000+00:00,300,True
gpt-5.2,gha-27934941478,2026-06-22 06:53:02.790000+00:00,300,True
gpt-5.2,gha-28353397523,2026-06-29 06:38:16.549000+00:00,300,True
gpt-5.2,gha-28772619054,2026-07-06 06:35:47.034000+00:00,299,True
gpt-5.4,gha-23832575964,2026-04-01 04:54:30.969000+00:00,300,True
gpt-5.4,gha-24020491444,2026-04-06 05:47:57.968000+00:00,300,True
gpt-5.4,gha-24328022313,2026-04-13 05:57:10.016000+00:00,297,True
gpt-5.4,gha-24650819763,2026-04-20 05:56:52.105000+00:00,298,True
gpt-5.4,gha-24979191336,2026-04-27 06:05:03.466000+00:00,300,True
gpt-5.4,gha-25653805302,2026-05-11 06:21:50.579000+00:00,299,True
gpt-5.4,gha-26017377983,2026-05-18 06:31:19.783000+00:00,300,True
gpt-5.4,gha-26386972486,2026-05-25 06:35:42.602000+00:00,299,True
gpt-5.4,gha-26739370271,2026-06-01 06:41:21.229000+00:00,299,True
gpt-5.4,gha-27120305151,2026-06-08 06:36:11.202000+00:00,299,True
gpt-5.4,gha-27529172037,2026-06-15 06:52:10.818000+00:00,299,True
gpt-5.4,gha-27934941478,2026-06-22 06:52:35.661000+00:00,300,True
gpt-5.4,gha-28353397523,2026-06-29 06:37:39.088000+00:00,299,True
gpt-5.4,gha-28772619054,2026-07-06 06:35:09.457000+00:00,300,True
gpt-5.4-2026-03-05,gha-23118723659,2026-03-15 20:33:33.295000+00:00,300,True
